开始时间,结束时间,字幕内容,字幕颜色
0:18:38.03,0:18:39.06,**Where are you?**,#A9A0FF
0:18:39.65,0:18:41.19,**Are you still alive?**,#A9A0FF
0:18:42.47,0:18:43.99,**She must be.**,#A9A0FF
0:18:44.60,0:18:48.21,**The Wei people rely on eye color to differentiate the Jing people.**,#A9A0FF
0:18:48.45,0:18:50.85,**Meimei inherited mother’s eye color,**,#A9A0FF
0:18:51.82,0:18:53.69,**she won’t be discovered.**,#A9A0FF
0:18:57.97,0:18:58.64,Qi Yan: **Your Highness,**,#A9A0FF
0:19:00.24,0:19:04.23,**there is a mountain of corpses and a sea of blood between us.**,#A9A0FF
0:19:04.80,0:19:06.22,**This was destined from the start.**,#A9A0FF
0:19:08.58,0:19:11.17,**I wonder, when you learn about all of this one day,**,#A9A0FF
0:19:11.64,0:19:15.92,**will you regret pulling my sleeve in front of the bookstore that day?**,#A9A0FF
